H,W,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
78,88,1.0,1.3,5.2,7.3,1.8,3.7,4.3,6,4.9,3.8
88,98,1.3,3.8,2.1,1.3,6.6,5.2,3,4.5,9.1,4.2
90,75,1.1,4.3,5.8,1.7,5.2,5.6,3.1,3.7,4.6,1.7
78,98,1.2,1.3,9.9,3.4,4.0,5.9,2.6,6.1,6.1,6.2
87,79,8.5,6.9,2.5,2.1,9.2,9.4,9.1,3.4,5.3,3.5
88,91,7.2,3.6,8.7,1.1,1.1,2.2,3.5,6.4,7.2,5.3
94,86,1.2,1.7,5.1,1.2,5.4,9.3,4.7,4.6,6.9,9.5
78,98,3.4,1.0,1.5,4.0,1.1,1.1,1.5,8.7,6.7,5.7
95,88,1.0,1.3,2.8,7.9,9.1,1.7,1.1,9.7,6.4,2.7
96,85,4.7,1.9,1.1,1.0,4.7,7.1,3.2,9.6,2.2,8.6
87,97,4.8,2.6,4.9,1.4,4.9,4.9,8,5.7,9.1,1.6
96,95,1.1,6.5,5.3,5.3,3.2,8.9,3.7,6.3,4.2,7
100,82,1.8,1.5,1.0,8.4,1.1,4.6,6.3,5.1,9.1,8.9
99,97,2.3,1.0,7.4,2.3,3.7,9.8,6.3,5.9,6.5,9
90,88,5.3,2.1,2.5,1.5,9.4,7.8,6.7,9.3,7.1,2.1
78,78,1.2,9.0,2.1,5.8,8.5,1.6,5.3,9.3,1.5,4.4
83,84,9.0,5.9,1.5,7.1,6.2,9.9,5.8,8.4,6.2,8.4
86,91,5.6,7.4,2.2,2.7,2.1,8.6,4.3,9.2,5.9,9.2
76,82,2.4,4.9,2.2,2.1,1.3,9.4,5.2,8,6.1,8.1
80,93,3.7,3.8,1.1,8.2,1.1,2.8,7.5,8.8,7.9,5.5
81,78,5.5,8.0,5.4,1.6,8.5,6.7,2.1,6.5,6.8,1.4
86,92,7.5,1.5,6.5,1.0,8.0,1.4,5.6,6.5,4.8,2.5
88,84,8.5,9.9,1.0,8.8,3.4,4,6.7,3.8,8.9,6.7
85,83,1.6,4.8,2.9,4.6,3.4,9.4,9,8.6,3.9,3.9
99,76,6.8,7.9,1.8,4.3,1.1,5.2,5.5,1.5,1.8,7.7
100,82,7.8,8.1,5.3,8.6,2.5,8.4,5.8,4.9,4.9,4.6
88,84,1.5,1.0,1.5,8.8,5.9,5.6,4.5,3.7,6.2,5.9
79,89,2.9,1.9,2.3,4.7,6.9,2.1,2.5,6.7,9.5,6.3
93,86,1.0,4.8,2.8,1.4,4.6,3.1,4.5,2.6,5,5.4
80,85,3.5,2.2,2.6,1.6,2.8,3.8,4.5,8.7,8.5,2.3
90,87,3.4,2.9,1.0,4.5,5.7,8.6,9.7,5.2,8.8,5.6
91,91,5.8,1.2,4.3,7.7,1.0,4.7,7.2,5.1,5.6,2.6
78,86,1.1,2.8,2.7,4.5,2.2,8.9,3.2,3.7,4.8,3.1
82,78,4.2,1.3,9.4,8.0,1.1,9.6,2.5,6.3,7,3.2
94,92,4.3,3.2,6.7,1.3,2.1,9.3,3.8,8.5,2.5,4.3
80,87,6.2,9.0,3.1,1.0,4.2,9.5,1.7,5.5,1.3,4.1
86,88,1.0,1.9,7.6,2.5,4.0,1.4,7,7.5,7.4,9.6
84,91,7.3,6.3,1.7,1.8,7.1,5.2,8.4,9.9,1.7,6.6
96,95,1.0,2.0,2.4,6.8,8.2,7.5,7.5,5.2,2.7,3.6
90,77,7.1,1.0,6.5,1.0,1.2,1.7,3.7,1.8,6.8,9.9
85,92,3.7,1.0,1.0,1.2,2.0,4.7,4.7,2.9,7.2,1.8
89,80,8.7,1.6,5.3,6.2,10.0,9.2,2.2,3.3,8.6,2.6
94,99,2.0,6.0,1.9,2.3,5.3,5,4.2,8.7,4.9,7.5
95,96,3.9,1.3,3.0,8.9,2.8,9.6,3.4,1.1,4.9,2.5
76,87,4.3,5.2,7.1,1.9,1.7,7.6,7.6,5.3,2.8,9.6
85,81,4.1,8.0,10.0,2.3,1.1,8,7.7,8,1.8,3.6
82,91,5.8,4.6,4.8,8.2,3.6,3.2,5.7,4.6,2.5,1.1
79,87,9.5,1.5,1.5,5.0,3.1,7.1,3.6,1,2.7,6.5
89,87,3.2,1.1,8.1,1.4,2.7,5.5,4,3.5,9.3,5.8
79,87,4.0,7.7,5.2,3.1,2.8,4.8,1.4,5.5,4,3.3
91,81,2.7,3.0,1.8,8.1,1.0,4.2,6.5,3.9,9.3,7.4
92,81,2.5,7.4,1.9,7.6,1.0,1.8,7.9,1.6,8.4,4.4
84,97,9.5,1.0,8.6,4.9,3.1,1.8,1.6,4.4,5.3,1.2
94,81,1.1,7.6,1.7,3.4,3.6,5.1,2.6,4.5,8.2,4
83,78,8.2,1.1,7.7,8.5,6.3,1.5,3,1.2,8.4,2.1
89,81,4.5,1.2,7.1,1.0,5.4,9.8,5.1,8.9,6.6,2.8
78,96,4.4,7.6,5.6,4.7,5.2,9.7,1,5,3.4,3.3
98,90,1.1,1.0,2.8,4.5,1.9,2.9,8.3,10,5.4,6.1
92,95,1.0,4.7,7.4,6.3,1.0,6.2,3.7,3.8,8.6,4.3
87,91,2.5,1.3,8.2,8.9,1.1,2.6,5.2,3.7,2.7,1.4
90,89,3.4,6.8,2.4,1.8,2.7,1.3,6.6,3.2,7.1,6.8
97,99,1.0,1.6,1.0,3.5,6.5,9.3,7.6,5.1,3,7.6
94,86,2.2,3.5,7.1,6.1,2.0,5.6,9.2,5.1,9.3,8.4
81,95,1.0,4.9,2.1,1.9,8.3,1.7,5.1,2,3,3.1
77,77,5.2,4.0,9.8,1.5,1.0,4.8,3.2,9.4,6.4,5.5
99,80,5.8,5.6,6.4,6.2,1.1,9.2,6.8,1.9,7.8,7.8
81,90,3.1,4.0,1.0,8.9,4.2,4.9,3.3,8,6.1,6.3
100,76,1.8,1.5,9.7,2.5,4.4,1.4,5.9,3.4,2.3,1.4
89,84,1.1,2.2,1.8,1.2,2.1,2.7,8.1,8.5,8.2,3.8
84,82,8.4,1.0,2.2,2.0,1.2,9.4,1.3,5.7,5.7,1.9
96,100,1.4,3.2,9.2,1.0,6.2,5.3,6.9,5.9,2.1,7.3
81,78,1.1,4.6,2.1,3.8,6.8,5.2,3.3,1,7.1,9.8
77,82,1.0,2.6,1.6,6.5,6.8,3.9,1.8,9.8,5.7,3.1
99,78,1.2,2.1,3.3,3.9,1.0,8.6,3.3,6.1,7,9.2
99,90,4.2,4.3,3.0,5.0,4.2,7.4,7.9,2.5,9.2,8.6
76,85,1.7,1.7,2.8,8.4,1.4,4.8,1.6,8.4,2.6,7.6
86,98,3.3,3.8,1.1,1.2,4.3,2.6,6.4,8.2,6.2,6.4
81,88,1.0,1.4,1.8,1.7,1.1,7.6,4.8,7.8,2.3,1.2
95,91,5.1,5.0,1.5,1.1,2.5,8.2,8.8,7.9,4.2,6.9
78,76,9.4,1.0,1.0,1.1,5.5,7.9,7,5.7,8.6,6.4
93,83,1.0,4.2,3.7,6.9,6.2,7.5,1.9,5.3,3.4,2.2
84,76,1.7,4.4,4.7,3.1,8.7,6,1,2.2,2.1,8.4
89,92,1.8,5.5,1.6,9.6,1.9,8.3,3.4,2.1,5.2,4.8
91,98,1.3,1.0,1.8,1.6,1.0,1.6,6.7,6.3,8.7,2.2
98,99,8.3,7.4,7.2,3.1,8.3,7,4.5,9.2,5.2,3.8
91,98,2.0,7.9,1.6,3.0,3.9,4,1.9,9.5,8,8.3
86,92,2.3,4.5,6.1,8.6,1.6,8.2,1.4,5.4,4.9,5.9
86,93,3.2,9.6,9.0,2.6,2.4,4.7,4,3.5,6.6,3.5
78,97,4.5,1.6,9.8,1.0,1.1,7.1,2.1,3.9,2.9,10
80,99,9.9,3.2,8.3,5.4,1.4,7.7,8.8,7.7,8.8,6.9
94,79,2.6,6.7,4.9,8.2,1.3,1.1,8.5,2.5,3.4,6.2
93,84,1.9,2.4,9.6,7.1,2.8,3.4,6.2,2.8,5.8,1.6
97,93,3.0,2.1,7.5,6.3,2.1,8.8,9.7,3.3,9.3,8.6
89,91,5.0,3.5,9.7,7.4,2.4,8.2,1.6,2.7,1.5,8
76,96,3.1,2.6,6.8,7.8,7.3,2.7,1.5,8.6,8.1,9.3
75,86,7.3,2.2,1.6,2.1,6.3,1.7,5.9,8.4,5.5,1.8
96,89,5.0,6.4,3.2,4.8,3.5,9.2,4.5,2.1,6.6,1.3
90,92,4.6,2.7,6.5,2.3,1.2,6.6,2.5,3,6.8,9.6
80,76,2.6,4.8,1.6,2.2,3.9,5.1,4.4,8.9,2.4,3.1
86,91,1.1,1.1,2.2,4.1,2.4,6.4,5.3,8.8,2.7,5.7
98,89,3.2,5.9,1.6,4.7,4.1,1.1,8.9,3,8.9,9.5
76,85,3.8,6.6,9.4,3.1,6.9,6.9,3.7,9.9,7.1,8.3
100,75,4,5.8,3.8,6.3,9.7,5.6,4.1,7.4,2.2,6.8
96,94,6.9,4.9,3.8,1,6.9,8.1,4.2,9.9,7.3,2.2
81,90,9,6.3,9.3,3.8,7.3,8.9,8.9,7.5,6.2,9.3
83,88,1.6,7.7,3.3,3.7,2.9,5.4,1.5,6.8,1.3,7.9
81,83,5.7,7.4,6.1,2.4,5.7,7,9,2.8,3.5,8.3
84,88,6.9,4.3,9,3.3,5,8.5,9.8,3.7,8.1,7.8
78,77,6,8.3,6.4,8.1,5.2,6.5,8.2,2.8,5.5,7.3
81,99,6.7,6.5,1.1,5.4,9.3,6.2,7.3,4.3,8.1,3.4
95,83,4,8.2,8.9,8.5,2.4,6.2,9.6,9.6,9.5,6.7
75,83,6,1.2,7.8,7.3,8.4,3.5,7.9,7.8,5.8,4.5
87,97,5.9,7.9,4.4,6.6,3.4,8.7,3.6,4.1,7.6,6.6
95,81,9.8,5.2,9.7,8.7,9,5.4,1.4,9.1,2,9.7
85,89,3.3,9.6,1.7,9.3,3.5,7,4.5,5.6,1.4,5.4
98,86,4.4,9.2,9.5,7.1,3.6,1.6,3.6,6.9,7.5,8
93,92,3.9,4.1,3.1,1.3,7.2,5.2,6.1,5.7,3.2,9.6
